Codigo_do_alimento;Descricao_do_alimento
6900403;Batida (rapadura)
6900501;Sorvete de qualquer sabor industrializado
6900502;Picole de qualquer sabor industrializado
6900601;Chiclete
6900603;Bala
6900604;Caramelo (bala)
6900605;Drops
6900606;Pastilha
6900607;Pirulito
6900609;Goma de mascar
6900610;Jujuba
6900701;Tablete de chocolate
6900702;Barra de chocolate
6900706;Confete
6900801;Chocolate em po de qualquer marca
6900818;Ovomaltine
6900821;Achocolatado em po
6900822;Toddynho
6900901;Bombom de qualquer marca
6900904;Trufa 
6901001;Geleia de frutas de qualquer marca ou sabor
6901002;Mousse de qualquer sabor (Geleia) 
6901101;Geleia de mocoto
6901201;Doce de frutas em pasta de qualquer sabor
6901203;Pasta de amendoim
6901204;Pessegada
6901206;Marmelada
6901209;Figada
6901211;Goiabada
6901214;Caju em pasta
6901224;Mariola
6901301;Doce de frutas em calda de qualquer sabor
6901401;Doce de frutas cristalizado de qualquer sabor
6901501;Melado
6901602;Mel 
6901701;Gelatina de qualquer sabor
6901801;Adocante artificial
6902004;Merengue
6902301;Schimier de cana
6902401;Fruta seca ou desidratada
6902402;Passa
6902601;Pudim de qualquer sabor
6902607;Danette pudim
6902701;Manjar
6902901;Cuscuz
6902902;Cuscuz de tapioca
6903001;Maria mole
6903101;Cocada
6903102;Quebra queixo
6903201;Doce de amendoim
6903202;Pe de moleque
6903203;Pacoca
6903204;Torrao de amendoim
6903205;Pacoquinha de amendoim
6903207;Amendoim caramelizado
6903208;Amendoim amanteigado
6903209;Amendoim achocolatado
6903303;Amendoim apimentado
6903304;Amendoim cozido
6903601;Brigadeiro
6903701;Bomba de qualquer tipo
6903801;Mil folhas
6903901;Queijadinha
6904101;Doce à base de ovos
6904104;Cacarola italiana
6904105;Quindim
6904108;Fios de ovos
6904201;Doce à base de leite
6904202;Pave de qualquer sabor
6904203;Ambrosia
6904204;Leite geleificado
6904205;Chandele de qualquer sabor
6904302;Mumu 
6904401;Canudinho recheado
6904501;Sarolho
6904502;Beiju
6904601;Schimier de fruta (exceto de cana)
6904701;Beijo de moca
6904801;Picole ensacado
6904807;Geladinho
6905001;Churro
6905101;Pamonha
6905401;Algodao doce
6905603;Io Io crem (chocolate em creme)
6905801;Ovo de pascoa
6905804;Kinder ovo
6905901;Torrone
6906001;Arroz doce
6906404;Polpa de coco
6906501;Diet shake
6906502;Concentrado alimentar diet shake
6906602;Acucar 
6907001;Acucar light
6907201;Barra de cereais
6907202;Barra de cereais salgada
6907203;Barra de cereais doce
6907301;Sobremesa de qualquer tipo (exceto infantil)
6907401;Rabanada
6907501;Milk shake 
6907901;Geleia diet
6908001;Doce de frutas diet
6908401;Pasteis de santa clara
6908501;Suspiro
6909301;Doce de frutas cristalizado de qualquer sabor diet
6909601;Sorvete de qualquer sabor industrializado light
6909701;Sorvete de qualquer sabor industrializado diet
6909803;Bala light
6909901;Chiclete diet
6909903;Bala diet
6910002;Barra de chocolate light
6910102;Barra de chocolate diet
6910221;Achocolatado em po light
6910321;Achocolatado em po diet
6910322;Toddynho diet
6910401;Bombom de qualquer marca light
6910501;Bombom de qualquer marca diet
6910502;Bombom caramelizado de qualquer marca diet
6910601;Geleia de frutas de qualquer marca ou sabor light
6910604;Geleia light
6910605;Geleia de frutas light
6910701;Doce de frutas em barra ou pasta light
6910702;Doce de frutas em pasta light
6910801;Pudim de qualquer sabor light
6910808;Pudim danette light
6910901;Pudim de qualquer sabor diet
6911201;Doce de leite light
6911301;Doce de leite diet
6912501;Barra de cereais diet
6912502;Barra de cereais doce diet
6912801;Milk shake diet
6913001;Cocada diet
6913101;Doce de amendoim diet
6913103;Pacoca diet
6913108;Amendoim amanteigado diet
6913801;Doce à base de leite diet
6913901;Gelatina de qualquer sabor light
6914001;Adocante light
6914002;Adocante em po light
6914003;Adocante liquido light
7001501;Mostarda molho
7002304;Hortela
7002401;Alcaparra em conserva
7002601;Coentro
7003601;Molho de soja
7003604;Shoyo
7003801;Leite de coco
7004301;Maionese (molho)
7004701;Massa de tomate
7004801;Molho de tomate
7004802;Ketchup
7004803;Catchup
7006101;Pimenta em po
7007101;Tucupi em caldo sem pimenta
7007502;Creme de queijo
7007701;Caldo de peixe
7007901;Caldo de tomate
7009102;Gergelim
7010301;Tomate seco
7010401;Maionese (molho) light
7010501;Molho de soja light
7010601;Leite de coco light
7079202;Vinagrete
7100101;File mignon
7100201;Contrafile
7100205;Bisteca bovina
7100301;Alcatra
7100303;Maminha
7100304;Picanha
7100501;Patinho
7100502;Cabeca de lombo (carne bovina)
7100604;Posta branca
7100606;Tatu (lagarto redondo)
7100607;Paulista
7100608;Lombo paulista (carne bovina)
7100702;Posta vermelha
7100801;Acem
7100803;Agulha (acem)
7100905;Paleta 
7100908;Pa com osso
7101001;Musculo bovino
7101006;Chambaril
7101009;Carne marica bovina
7101011;Vazio (carne bovina)
7101101;Peito bovino
7101202;Fraldinha (capa de file)
7101203;Aba de file 
7101301;Costela bovina
7101704;Jacare (carne bovina de segunda c/ osso)
7101706;File de segunda
7101801;Viscera bovina 
7101806;Panelada (visceras bovinas nao especificadas)
7101901;Coracao bovino
7102001;Rim de boi 
7102102;Bofe bovino
7102201;Miolo de boi
7102401;Tripa bovina
7102402;Dobradinha fresca
7102403;Fato bovino
7102404;Fato caprino
7102501;Figado bovino
7102601;Cupim
7102701;Lingua bovina
7102801;Rabada de boi
7103101;Mocoto bovino
7103104;Braco bovino
7103105;Mao bovina
7103301;Carre 
7103305;Bisteca suina
7103401;Pernil suino
7103403;Quarto suino
7103501;Costela suina
7103701;Lombo suino
7103801;Toucinho
7103903;Miudo suino
7103906;Arrasto suino
7103907;Sarapatel suino fresco
7104101;Carne suina
7104301;Carne moida 
7104302;Guisado 
7104501;Tripa suina
7104601;Figado suino
7104701;Lingua suina
7105001;Orelha suina fresca
7105103;Sarrabulho
7105203;Mocoto suino
7105401;Carne de cabrito 
7105402;Carne de bode
7105403;Carne caprina
7105405;Carne de caprino
7105601;Carne de carneiro
7105602;Carne de ovelha
7105801;Mocoto de caprino
7106301;Pernil 
7106401;Lagarto bovino 
7106501;Alcatra suina
7107102;Brachola
7107103;Bife role cru
7107204;Buchada de bode
7107501;Sua suina
7107601;Carne de outros animais
7107603;Carne da paca
7107611;Carne de jacare
7107615;Carne de capivara
7107617;Carne de cotia
7107622;Carne de jabuti
7107801;Carne de primeira 
7107804;Chuleta
7107805;File nao especificado
7108107;Miudo de bode 
7108301;Pe suino fresco
7109101;Carne bovina 
7110601;Lombo nao especificado
7110801;Musculo nao especificado
7110902;Ossada nao especificada
7111202;Carne de segunda 
7111401;Contrafile organico
7111405;Bisteca organica
7111702;Cabeca de lombo (carne bovina) organica
7111806;Tatu (lagarto redondo) organico
7200101;Peixe de mar (inteiro, em posta, em file, etc,)  
7200401;Peixe de mar salgado (inteiro, em posta, em file, etc,) 
7260101;Camarao
7261101;Siri
7261120;Bau (siri)
7261121;Goia
7262101;Caranguejo
7262105;Guaiamu
7263101;Marisco
7264101;Ostra
7265101;Lula
7266101;Sururu
7270401;Bacalhau
7273101;Ovas de peixe (qualquer especie)
7400101;Peixe de agua doce (inteiro, em posta, em file, etc,) 
7400401;Peixe de agua doce salgado (inteiro, em posta, em file, etc,) 
7444101;Tracaja
7600101;Peixe nao especificado (inteiro, em posta, em file, etc,)
7600401;Peixe nao especificado salgado (inteiro, em posta, em file, etc,)
7700101;Azeitona
7700201;Ervilha em conserva
7700202;Petit pois
7700401;Milho verde em conserva
7700501;Palmito em conserva
7700601;Cogumelo em conserva
7700602;Champignon em conserva
7700701;Aspargo em conserva
7700901;Repolho em conserva
7700902;Chucrute
7701101;Legume nao especificado em conserva
7701404;Creme de cebola (sopa desidratada)
7701405;Creme de legumes (sopa desidratada)
7701406;Yakissoba 
7701501;Milho verde com ervilha em conserva
7701901;Feijoada
7702001;Feijao branco com dobradinha em conserva
7702101;Cozido
7702302;Pasta de carne em conserva
7702402;Pasta de presunto em conserva
7702502;Pasta de galinha em conserva
7702601;Carne bovina em conserva
7702602;Almondega 
7702603;Kitute bovino
7702604;Almondega ao molho em conserva
7702704;Kitute suino
7702705;Presuntada
7702707;Fiambre 
7702801;Salsicha em conserva
7703002;Sardinha em conserva
7703402;Atum em conserva
7703701;Pepino em conserva
7703902;Pasta de peixe em conserva
7704001;Picles
7705201;Nabo em conserva
7705401;Strogonoff 
7706001;Salmao em conserva
7706104;Creme de cebola (sopa desidratada) light
7706105;Creme de legumes (sopa desidratada) light
7706106;Yakissoba (sopa de legumes desidratada) light
7706302;Atum em conserva light
7800103;Frango inteiro
7800301;Parte de galinha ou frango nao especificada
7800302;Frango em pedacos
7800303;Galinha em pedacos 
7800304;Carne de galinha 
7800401;Peito de galinha ou frango
7800402;File de frango
7800602;Carcaca de galinha ou frango
7800701;Asa de galinha ou frango
7800702;Drumete de galinha ou frango
7800801;Pescoco de galinha ou frango
7800901;Pe de galinha ou frango
7801001;Miudo de galinha ou frango 
7801101;Moela de galinha ou frango
7801202;Coracao de frango
7801301;Figado de galinha ou frango
7801407;Canja 
7801702;Peru em pedaco nao especificado
7801801;Peito de peru
7802101;Asa de peru
7802701;Chester 
7802702;Tender
7802801;Nambu 
7802901;Nuggets de frango
7802902;Steak de frango
7803001;Codorna
7803201;Pe e asa de galinha ou frango
7803301;Ovo de galinha
7803501;Ovo de codorna
7803702;Galinha d_angola abatida, congelada ou viva
7803703;Capote 
7803707;Mutum 
7803907;Pato em pedacos
7803908;Peito de pato
7803913;Carne de pato 
7805401;Peito de peru light
7805501;Frango inteiro organico
7805702;File de frango organico
7900101;Leite de vaca integral
7900201;Leite de vaca fresco 
7900301;Leite de cabra
7900601;Leite em po integral
7900710;Leite em po desnatado
7900801;Leite em po 
7900901;Leite condensado
7900903;Leite beijinho
7901001;Creme de leite
7901101;Chantilly
7901201;Iogurte de qualquer sabor
7901203;Iogurte desnatado
7901204;Iogurte natural
7901301;Yakult de qualquer sabor
7901303;Bebida lactea
7901304;Leite fermentado
7901401;Coalhada
7901501;Manteiga com ou sem sal
7901505;Manteiga de garrafa
7901602;Margarina com ou sem sal
7901701;Queijo prato
7901703;Queijo colonial
7901705;Queijo de colonia
7901801;Queijo mucarela
7901803;Mucarela
7901807;Mucarela de bufala
7901809;Queijo de bufala
7901901;Queijo de reino
7902001;Queijo de minas
7902003;Queijo de manteiga
7902004;Quechimia
7902005;Queijo de coalho
7902008;Queijo canastra
7902201;Queijo ricota
7902301;Leite de soja com sabor 
7902303;Ades original
7902403;Queijo ralado
7902501;Queijo provolone
7902801;Queijo polenguinho
7902901;Requeijao
7902902;Queijo cremoso
7903001;Queijo nao especificado
7903101;Leite com sabor
7903102;Leite achocolatado
7903109;Leite aRomatizado
7903110;Bebida achocolatada
7903201;Nata
7903301;Queijo gorgonzola
7903402;Tofu
7903501;Leite de soja em po
7903601;Leite de vaca desnatado
7903702;Leite de vaca semidesnatado
7903801;Leite nao especificado pasteurizado
7903901;Iogurte de qualquer sabor light
7904001;Iogurte de qualquer sabor diet
7904201;Margarina light
7904301;Leite de vaca integral organico
7904401;Leite de vaca fresco organico
7904601;Leite semidesnatado de vaca organico
7904701;Creme de leite organico
7904801;Iogurte de qualquer sabor organico
7904803;Iogurte de qualquer sabor desnatado organico
7904804;Iogurte natural de qualquer sabor organico
7905103;Mucarela light
7905104;Queijo mucarela light
7905201;Leite de soja com sabor light
7905203;Ades light
7905601;Creme de leite light
7905901;Queijo prato light
7906001;Queijo de minas light
7906005;Queijo de coalho light
7906201;Queijo ricota light
7906303;Queijo ralado light
7906401;Queijo polenguinho light
7906501;Requeijao light
7906601;Queijo nao especificado light
7906702;Leite achocolatado light
7906710;Bebida achocolatada light
7906801;Leite com sabor diet
7906802;Leite achocolatado diet
7906810;Bebida achocolatada diet
7906901;Leite de soja em po light
7907001;Leite em po com sabor
7907101;Manteiga com ou sem sal light
7907301;Queijo de minas frescal organico
7907305;Queijo de coalho frescal organico
8000103;Pao de hamburguer
8000105;Pao de sal
8000201;Pao doce
8000203;Chineque
8000218;Chineque com farofa
8000229;Pao de mel
8000234;Panetone
8000237;Bisnaguinha
8000240;Croissant
8000501;Pao de forma industrializado de qualquer marca
8000801;Pao de queijo
8001101;Pao de milho
8001401;Pao integral
8001501;Pao nao especificado
8001901;Torrada de qualquer pao
8002001;Rosca doce
8002002;Rosquinha doce
8002101;Rosca salgada
8002106;Rosquinha salgada
8002201;Biscoito salgado
8002205;Presuntinho biscoito
8002212;Biscoito de polvilho
8002225;Bolacha salgada
8002227;Chips (salgadinhos)
8002230;Baconzitos
8002236;Biscoito salgado integral
8002301;Biscoito doce
8002302;Cavaco chines
8002305;Sequilho
8002306;Tareco
8002309;Solda
8002315;Brevidade
8002334;Bolacha doce
8002335;Maria maluca (bolacha doce)
8002405;Quebra quebra
8002502;Rocambole
8002503;Cuca de qualquer tipo
8002601;Bolo de milho
8002604;Amidomil (bolinho)
8002605;Angusor de milho
8002609;Grustoli (bolinho doce)
8002701;Bolo de aipim
8002702;Bolo de tapioca
8002703;Bolo de macaxeira
8002704;Bolo de goma
8002801;Bolo de batata doce
8002901;Bolo de arroz
8003101;Bolo de cara
8003501;Tortas doces de qualquer sabor
8003601;Tortas salgadas de qualquer sabor
8003701;Sonho
8003702;Filhos (bolinho de farinha de trigo e ovos)
8003801;Bolo de chocolate
8003902;Brioche
8004001;Bolo de laranja
8004101;Bolo de coco
8004201;Bolo de cenoura
8004601;Bolo de trigo
8004701;Broa
8004801;Biscoito recheado
8004807;Waffer (biscoito)
8004809;Alfajores (biscoito)
8004810;Bolacha recheada
8004813;Rosca recheada
8004814;Rosquinha recheada de qualquer sabor
8005201;Biscoito nao especificado
8006101;Crepe
8006501;Pao diet (de forma industrializado)
8006601;Pao light (de forma industrializado)
8006701;Pao de queijo light
8006801;Pao integral light
8007001;Tortas doces de qualquer sabor light
8007101;Tortas doces de qualquer sabor diet
8007302;Filhos (bolinho de farinha de trigo e ovos) light
8007402;Filhos (bolinho de farinha de trigo e ovos) diet
8007501;Bolo de chocolate light
8007601;Bolo de chocolate diet
8007701;Bolo de laranja light
8008001;Bolo de coco diet
8008201;Bolo de cenoura diet
8008301;Biscoito recheado light
8008305;Biscoito waffer light
8008307;Waffer (biscoito) light
8008309;Alfajores (biscoito) light
8008310;Bolacha recheada light
8008401;Biscoito recheado diet
8008408;Rosquinha recheada de qualquer sabor diet
8008410;Bolacha recheada diet
8010001;Pao doce diet
8010029;Pao de mel diet
8010034;Panetone diet
8010101;Biscoito salgado light
8010125;Bolacha salgada light
8010127;Chips (salgadinhos) light
8010401;Biscoito doce light
8010434;Bolacha doce light
8010501;Biscoito doce diet
8010534;Bolacha doce diet
8010601;Bolo de banana
8100101;Carne seca
8100102;Carne de charque
8100103;Jaba
8100201;Carne de sol
8100202;Carne do sertao
8100502;Hamburguer de carne bovina
8100802;Copa de porco defumada
8101005;Bacon
8101101;Hamburguer de frango
8102101;Salsicha no varejo
8102204;Linguica (suina, bovina, mista, etc,)
8102207;Linguica de frango
8102401;Chourico
8102402;Morcela
8102403;Morcilha
8102501;Paio
8102601;Mortadela
8102701;Salame
8102702;Salaminho
8102801;Blanquet de peru
8102901;Presunto 
8103001;Hamburguer de peru
8103101;Hamburguer nao especificado
8103601;Apresuntado
8103901;Pururuca de porco
8103902;Pele de porco preparada (pururuca)
8104001;Pate (figado, calabresa, frango, presunto, etc,)
8104101;Carne de aves defumada
8104601;Carne salgada nao especificada
8104904;Mini chicken empanado
8105001;Mortadela light
8105201;Salsicha no varejo light
8105401;Salame light
8105501;Blanquet de peru light
8105701;Hamburguer nao especificado light
8200101;Refrigerante de cola tradicional
8200102;Coca cola tradicional
8200202;Fanta laranja tradicional
8200208;Sukita tradicional
8200301;Refrigerante de guarana tradicional
8200302;Guarana tradicional
8200407;Sprit refrigerante tradicional
8200505;Fanta uva tradicional
8200701;Refrigerante de cola light
8200702;Coca cola light
8200801;Refrigerante de cola diet
8200902;Minuano tradicional
8201104;Mate tradicional
8201202;Bidu tradicional
8201502;Fanta laranja light
8201601;Refrigerante de guarana light
8201602;Guarana light
8201802;Tubaina tradicional
8201902;Tubaina light
8202001;Caldo de cana
8202002;Garapa
8202101;agua de coco
8202402;Q suco
8202403;Q refresko
8202602;Nescafe
8202803;Erva mate
8202804;Chimarrao
8202805;Terere
8203401;Levedo de cerveja
8203501;Refrigerante nao especificado
8203603;Cevada em po
8204503;Chocomilk 
8204902;agua tonica tradicional
8205201;Cha diet (preto, camomila, erva cidreira, capim limao, etc,) 
8205402;Paraguai refrigerante tradicional
8205803;Gatorade
8205901;Bebida energetica
8206301;Cha (preto, camomila, erva cidreira, capim limao, etc,)
8206402;Cafe soluvel capuccino 
8207401;Refrigerante de guarana diet
8207402;Guarana diet
8207601;Refrigerante de limao diet
8207705;Fanta uva light
8208104;Mate light
8209002;agua tonica light
8209102;Paraguai refrigerante light
8211002;Q suco light
8211003;Q refresko light
8211102;Q suco diet
8212401;Cafe capuccino soluvel light
8212501;Cafe capuccino soluvel diet
8212902;agua tonica diet
8212906;Refrigerante de quinino dietetico
8213003;Cha mate organico
8213004;Chimarrao organico
8213601;Suco de clorofila
8273902;Cafe com farinha
8300101;Cerveja (com ou sem alcool)
8300201;Chopp
8300301;Aguardente
8300302;Cachaca
8300501;Batida de qualquer sabor
8300701;Rum
8300801;Vodka
8301001;Uisque
8301002;Whisky
8301201;Champanhe
8301202;Sidra champanhe
8301501;Martini
8301601;Conhaque
8301701;Drink dreher
8301901;Licor de qualquer sabor
8302409;Cajuina
8302415;Vinho
8302416;Catuaba
8302901;Coquetel de frutas
8303101;Caipirinha
8303501;Bebida alcoolica 
8303615;Vinho organico
8304301;Cerveja (com ou sem alcool) light
8304502;Caxiri (aguardente de mandioca)
8400101;Azeite de oliva
8400301;oleo de soja
8401801;Banha suina
8403001;Banha bovina
8403201;oleo nao especificado
8403501;oleo de dende
8500201;Salgadinho
8500202;Pastel (queijo, carne, palmito, etc,)
8500203;Croquete 
8500205;Coxinha 
8500206;Empada (queijo, carne, camarao, etc,)
8500207;Rissole  (queijo, carne, camarao, etc,)
8500209;Acaraje
8500210;Torresmo 
8500211;Quibe 
8500212;Abara (Bahia)
8500213;Pacoca de carne de sol
8500215;Angu frito
8500217;Angu de milho 
8500218;Polenta 
8500222;Esfirra 
8500223;Esfirra de carne 
8500224;Esfirra de queijo 
8500225;Esfirra de ricota 
8500226;Esfirra de frango 
8500227;Enroladinho 
8500228;Bolinho de aipim
8500232;Bolinho de bacalhau
8500302;Cachorro quente 
8500303;Hamburguer (sanduiche)
8500304;Cheeseburger 
8500305;Eggsburger 
8500307;Bauru 
8500308;Americano
8500313;Misto quente ou frio 
8500315;Sanduiche de queijo prato
8500316;Sanduiche de salame
8500317;Sanduiche de presunto
8500318;Sanduiche de queijo prato com presunto
8500319;Sanduiche de mortadela
8500320;Sanduiche de queijo minas
8500321;Cheese egg
8500322;Cheese tudo
8500323;Sanduiche natural
8500401;Suco 
8500402;Suco de abacaxi 
8500403;Suco de acerola 
8500404;Suco de beterraba 
8500405;Suco de cupuacu 
8500406;Suco de goiaba 
8500407;Suco de laranja 
8500408;Suco de laranja com banana 
8500409;Suco de laranja e beterraba 
8500410;Suco de laranja e cenoura 
8500411;Suco de laranja cenoura e beterraba
8500412;Suco de mamao 
8500413;Suco de manga 
8500414;Suco de maracuja 
8500415;Suco de melao 
8500416;Suco de morango 
8500417;Suco de pessego 
8500418;Suco de pessego em calda 
8500501;Vitamina 
8500503;Vitamina de banana 
8500504;Vitamina de banana com aveia 
8500505;Vitamina de mamao 
8500506;Vitamina de abacate 
8500507;Vitamina de morango 
8500508;Vitamina mista
8500509;Vitamina de maca
8500601;Refresco 
8500602;Refresco de caju 
8500603;Refresco de groselha 
8500604;Refresco de laranja 
8500605;Refresco de maracuja 
8500606;Refresco de limao
8500801;Salada ou verdura cozida, exceto de fruta
8500802;Salada de maionese 
8500903;Pizza 
8500904;Lasanha pronta light 
8500905;Nhoque 
8500906;Caneloni
8500907;Capeleti 
8500909;Ravioli 
8500910;Calzone 
8500913;Panqueca
8500914;Pizza calabreza
8500915;Pizza mucarela
8500916;Pizza presunto
8500917;Pizza portuguesa
8500919;Macarronada
8501004;Galeto 
8501104;Costela
8501202;Pipoca doce ou salgada 
8501302;Cafe 
8501303;Cafe com leite 
8501304;Cafe tipo expresso
8501305;Cafe tipo capuccino
8501402;Milho cozido 
8501502;Batata palito
8501503;Batata palha
8501902;Mungunza 
8501903;Canjica 
8501904;Curau
8502201;Farofa 
8502301;Mingau (fuba,  aveia, farinha, etc,) 
8502401;Tacaca 
8502501;Bolinho de coco 
8502701;Risoto
8502801;Vatapa 
8502901;Farofa pronta 
8503202;Caldo de carne 
8503203;Caldo de feijao 
8503204;Caldo de mocoto 
8503501;Baiao de dois
8503801;Churrasco
8504201;Sushi
8504401;Salada de frutas 
8504501;Sopa (legumes, carne, etc,)
8504801;Salpicao 
8505201;Charuto de repolho
8505401;Arroz à grega 
8505501;Arrumadinho
8505601;Bobo de camarao 
8505701;Caruru (quiabo, amendoim, castanha de caju, camarao seco, etc,)
8505801;Cuscuz paulista 
8505901;Empadao (queijo, frango, camarao, palmito, etc,)
8506001;Farofa de banana
8506101;Feijao tropeiro 
8506201;Galinha com arroz 
8506301;Galinhada 
8506401;Moqueca baiana 
8506501;Omelete 
8506601;Pirao 
8506701;Quibebe 
